17413	4161
435	769
8293	19637
1537	20489
24586	5313
8707	2
4101	16413
8969	23570
8331	9125
19713	4420
97	17029
16915	449
3106	1592
16	2115
514	5
6657	41
5	1160
8250	397
17489	17235
2142	195
24866	12439
193	4227
17331	3
16897	8456
10503	6241
21571	129
899	20675
10051	8210
14657	3717
769	12289
21554	26186
513	24857
17929	22529
1027	2177
6145	227
2689	16707
11795	9241
16943	24594
4290	3105
9	2326
8205	2307
2098	4482
4162	20497
8705	16465
2769	40
28881	2
2050	16435
20577	20737
471	18497
66	1025
6147	258
488	2307
425	10273
1033	4693
8193	1363
8197	26657
8494	37
18817	522
20061	21001
573	12353
4097	10310
16577	8314
2113	24841
25601	19097
2113	4258
534	17
273	16769
1162	769
16389	2057
1090	9
3618	163
11987	4129
25	1667
2210	4121
25635	4431
97	137
41	1514
4458	45
12297	3146
8705	10627
1217	4738
516	4149
349	521
2049	2567
1161	2
21637	3
31249	4105
34	9219
521	4230
3203	3488
16513	53
33	19977
1417	2229
245	25
187	4610
4163	16770
6163	612
14857	1128
16706	9730
6179	1543
1114	4097
513	17473
133	3393
23554	1
149	59
29065	17666
5409	2049
10754	4885
257	388
865	289
12866	1770
26753	4098
7307	29217
3649	8773
2057	18946
1	24677
23065	8258
7	24641
8721	259
291	8217
25349	28953
2321	18489
21	290
14338	65
16385	2305
18887	2201
7318	1321
1	8835
97	36
21	2185
1071	15489
88	10529
17449	3509
2049	837
8707	2369
25681	3090
26177	16393
8707	2225
14927	97
4454	28681
1189	2763
19235	1041
2833	9
16945	13057
20999	2399
16386	22562
25825	25879
107	20269
5	19713
2049	258
8215	769
705	4097
21513	10505
205	15669
13333	6698
12551	129
393	10245
8963	16399
16385	28745
17715	11
16953	1029
2593	1061
793	27
2433	18977
10025	1329
16518	18818
2377	163
17411	24740
16978	24594
1281	1281
18574	8961
18433	7298
2052	2625
16513	2386
8886	3081
8465	5266
9219	19977
2058	25733
6	2065
2132	1
24854	11465
1109	273
16769	6276
2056	4897
7	4097
24577	29
6383	11369
5394	12289
4485	8498
24837	1042
1566	553
25411	8197
10517	16609
19265	1066
263	617
8449	2051
17156	1053
21572	17070
325	5499
2049	17569
16385	38
3339	29253
1027	16461
17153	10241
8193	28679
